Param,Prime,Step,Compile Time,Setup Time,Witness Time,Proof Time,Verify Time,Proof Size,Proving Key Size,Verification Key Size,Witness Size
256,149,20,9.833526942,6.131289313,2.318865396,5.888696100,.016095349,17203,231847024,37833,20592208
65536,149,20,9.895733689,6.054184078,2.319820028,5.789695490,.016147319,17203,231847024,37833,20592208
16,149,30,14.766760108,8.718262876,3.493907942,8.073972249,.019210108,25343,314781424,55873,30959008
256,149,30,14.753779778,8.689908809,3.448100370,8.073671526,.017346323,25343,314781424,55873,30959008
65536,149,30,14.774232987,8.678978926,3.515695688,7.996492247,.017213516,25343,314781424,55873,30959008
16,149,40,19.876285961,12.145102603,4.663433148,11.159164618,.018303129,33483,464872688,73913,41331808
256,149,40,20.100629809,12.095883067,4.708529990,11.317893431,.018491253,33483,464872688,73913,41331808
65536,149,40,19.738416445,12.007937653,4.613926045,11.199352983,.018203586,33483,464872688,73913,41331808
16,149,50,24.889748110,14.618471217,5.809533906,13.544835058,.019548294,41623,547864688,91953,51705808
256,149,50,24.740030389,14.767376664,5.824388970,13.690293920,.021501602,41623,547864688,91953,51705808
65536,149,50,24.852830547,14.784414118,5.870963506,13.824094117,.018424284,41623,547864688,91953,51705808
16,149,60,30.492350559,17.470668594,7.030871406,15.987645010,.021851439,49763,630856688,109993,62079808
256,149,60,30.477260900,17.461435362,7.019904853,16.070179566,.023633435,49763,630856688,109993,62079808
65536,149,60,30.229016004,17.688801293,7.074447005,15.959000166,.020688094,49763,630856688,109993,62079808
16,149,70,35.171452890,20.222543659,8.251096579,18.125050787,.024486258,57903,713885168,128033,72458368
256,149,70,35.448289577,20.024186811,8.179794237,18.326971737,.024013290,57903,713885168,128033,72458368
65536,149,70,34.993987291,20.117442491,8.200814544,18.187287142,.022050666,57903,713885168,128033,72458368
16,149,80,40.659648213,24.273464292,9.374674591,22.844158926,.025926169,66043,931152496,146073,82839568
256,149,80,40.727131851,24.670700471,9.393230299,22.820757226,.026838376,66043,931152496,146073,82839568
65536,149,80,40.580964111,24.507686313,9.411114165,22.940685527,.024359229,66043,931152496,146073,82839568
16,149,90,45.574940993,27.376249539,10.624691924,25.301624699,.027589293,74183,1014202096,164113,93220768
256,149,90,46.256452545,27.189562424,10.580396791,25.638046001,.027304250,74183,1014202096,164113,93220768
65536,149,90,46.460458159,27.177186920,10.676383387,26.075594719,.034461179,74183,1014202096,164113,93220768
16,149,100,51.814682190,29.606448800,11.879800825,27.548358855,.027418405,82323,1097251696,182153,103601968
256,149,100,52.020948782,29.595507138,11.782399730,27.722634537,.028303891,82323,1097251696,182153,103601968
65536,149,100,51.826645685,29.633067457,11.732896572,27.661304548,.026575811,82323,1097251696,182153,103601968
16,151,20,10.389645712,6.253733189,2.325976325,5.874222543,.017326264,17203,231847024,37833,20592208
256,151,20,9.922879860,6.166445368,2.297852306,5.862980577,.016103514,17203,231847024,37833,20592208
65536,151,20,10.044890994,6.154739484,2.300495322,5.856194889,.015350590,17203,231847024,37833,20592208
16,151,30,14.921158780,8.822110863,3.478779089,8.052876811,.017309552,25343,314781424,55873,30959008
256,151,30,15.088280099,8.816825602,3.538505884,8.215090979,.018395772,25343,314781424,55873,30959008
65536,151,30,15.075833301,8.767648258,3.479769887,8.118530079,.017695898,25343,314781424,55873,30959008
16,151,40,20.697478421,12.247352731,4.677098472,11.391285865,.020333284,33483,464872688,73913,41331808
256,151,40,20.125299435,12.252408715,4.653664050,11.313671694,.018286123,33483,464872688,73913,41331808
65536,151,40,20.082475222,12.282715688,4.641851367,11.337260677,.019166711,33483,464872688,73913,41331808
16,151,50,25.102323201,15.265687448,5.827143969,14.100720414,.021426136,41623,547864688,91953,51705808
256,151,50,25.189550967,14.995716069,6.012724468,13.826168407,.020467719,41623,547864688,91953,51705808
65536,151,50,25.017398384,15.159092461,5.939302589,13.859641187,.020957182,41623,547864688,91953,51705808
16,151,60,30.384225316,17.595154466,7.020989136,16.322700117,.023477886,49763,630856688,109993,62079808
256,151,60,30.356772424,17.730856679,7.032225145,16.336480566,.018751249,49763,630856688,109993,62079808
65536,151,60,30.276497595,17.938145757,6.992698690,15.983251907,.022986108,49763,630856688,109993,62079808
16,151,70,35.566325662,20.202760662,8.196785319,18.319506821,.023360682,57903,713885168,128033,72458368
256,151,70,36.384833853,20.361849625,8.253520264,18.389433810,.021164317,57903,713885168,128033,72458368
65536,151,70,35.393148764,20.377234710,8.197109337,18.411672626,.027014715,57903,713885168,128033,72458368
16,151,80,41.859283069,24.396650223,9.410583722,22.873314451,.023195487,66043,931152496,146073,82839568
256,151,80,40.672055161,24.227099632,9.369868713,23.436291101,.023827181,66043,931152496,146073,82839568
65536,151,80,41.072117488,24.453098721,9.669213297,22.902484062,.024842406,66043,931152496,146073,82839568
16,151,90,46.662773302,26.762479671,10.655035006,25.810220293,.027655035,74183,1014202096,164113,93220768
256,151,90,46.215042363,27.165248155,10.637618450,25.863012365,.024429198,74183,1014202096,164113,93220768
65536,151,90,46.336978633,26.973585743,10.960813467,25.430409836,.023083443,74183,1014202096,164113,93220768
16,151,100,51.411584925,29.585523311,11.855625029,27.953359504,.031604899,82323,1097251696,182153,103601968
